xi,xj,LLM
While playing the quindecim, I got a blister on my finger.

While playing the sexdecim, I got a blister on my finger.

While playing the septendecim, I got a blister on my finger.

While playing the octodecim, I got a blister on my finger.

While playing the novemdecim, I got a blister on my finger.

While playing the viginti, I got a blister on my finger.

While playing the unaviginti, I got a blister on my finger.

While playing the duaviginti, I got a blister on my finger.

While playing the treviginti, I got a blister on my finger.

While playing the quattuorviginti, I got a blister on my finger.

While playing the quinquaviginti, I got a blister on my finger.

While playing the sexaviginti, I got a blister on my finger.

While playing the septaviginti, I got a blister on my finger.

While playing the octoviginti, I got a blister on my finger.

While playing the novemviginti, I got a blister on my finger.

While playing the triginta, I got a blister on my finger.

While playing the unatriginta, I got a blister on my finger.

While playing the duatriginta, I got a blister on my finger.

While playing the tretriginta, I got a blister on my finger.

While playing the quattuortriginta, I got a blister on my finger.

While playing the quinquatriginta, I got a blister on my finger.

While playing the sexatriginta, I got a blister on my finger.

While playing the septatriginta, I got a blister on my finger.

While playing the octotriginta, I got a blister on my finger.

While playing the novemtriginta, I got a blister on my finger.

While playing the quadraginta, I got a blister on my finger.

While playing the unaquaraginta, I got a blister on my finger.

While playing the duaquaraginta, I got a blister on my finger.

While playing the treaquaraginta, I got a blister on my finger.

While playing the quattuorquadraginta, I got a blister on my finger.

While playing the quinquaquaraginta, I got a blister on my finger.

While playing the sexaquaraginta, I got a blister on my finger.

While playing the septaquaraginta, I got a blister on my finger.

While playing the octoquaraginta, I got a blister on my finger.

While playing the novemquaraginta, I got a blister on my finger.

While playing the quinquaginta, I got a blister on my finger.

While playing the unaquinquaginta, I got a blister on my finger.

While playing the duaquinquaginta, I got a blister on my finger.

While playing the treaquinquaginta, I got a blister on my finger.

While playing the quattuorquinquaginta, I got a blister on my finger.

While playing the sexaquinquaginta, I got a blister on my finger.

While playing the septaquinquaginta, I got a blister on my finger.

While playing the octoqu

While playing the ternarium, I got a blister on my finger.

While playing the quaternarium, I got a blister on my finger.

While playing the quinquenarium, I got a blister on my finger.

While playing the senarium, I got a blister on my finger.

While playing the septenarium, I got a blister on my finger.

While playing the octonarium, I got a blister on my finger.

While playing the nonarium, I got a blister on my finger.

While playing the denarium, I got a blister on my finger.

While playing the undenarium, I got a blister on my finger.

While playing the duodenarium, I got a blister on my finger.

While playing the tredecinarium, I got a blister on my finger.

While playing the quattuordecinarium, I got a blister on my finger.

While playing the quindecinarium, I got a blister on my finger.

While playing the vigintinarium, I got a blister on my finger.

While playing the unavigintinarium, I got a blister on my finger.

While playing the duavigintinarium, I got a blister on my finger.

While playing the trevigintinarium, I got a blister on my finger.

While playing the quattuorvigintinarium, I got a blister on my finger.

While playing the quinquavigintinarium, I got a blister on my finger.

While playing the sexavigintinarium, I got a blister on my finger.

While playing the septavigintinarium, I got a blister on my finger.

While playing the octovigintinarium, I got a blister on my finger.

While playing the novemvigintinarium, I got a blister on my finger.

While playing the triginta, I got a blister on my finger.

While playing the unatriginta, I got a blister on my finger.

While playing the duatriginta, I got a blister on my finger.

While playing the tretriginta, I got a blister on my finger.

While playing the quattuortriginta, I got a blister on my finger.

While playing the quinquatriginta, I got a blister on my finger.

While playing the sexatriginta, I got a blister on my finger.

While playing the septatriginta, I got a blister on my finger.

While playing the octotriginta, I got a blister on my finger.

While playing the novemtriginta, I got a blister on my finger.

While playing the quadraginta, I got a blister on my finger.

While playing the unaquaraginta, I got a blister on my finger.

While playing the duaquaraginta, I got a blister on my finger.

While playing the treaquaraginta, I got a blister on my finger.

While playing the quattuorquadraginta, I got a blister on my finger.

While playing the quinquaquaraginta, I got a blister on my finger.

While playing the sexaquaraginta, I got a blister on my finger.

While playing the septaquaraginta, I got a blister on my finger.

While playing the octoquaraginta, I got a blister on my finger.

While playing the novemquaraginta, I got a blister on my finger.

While playing the quinquaginta, I got a blister on my finger.

While playing the unaquinquaginta, I got a blister on my finger.

While playing the duaquinquaginta, I got a blister on my finger.

While playing the treaquinquaginta, I got a blister on my finger.

While playing the quattuorquinquaginta, I got a blister on my finger.

While playing the sexaquinquaginta, I got a blister on my finger.
